cluster_id,is_noise,count,share,mean__high_risk_shortage,mean__low_risk_shortage,mean__overstocking,mean__normal_inventory,mean__understocking,mean__unequal_supply_regions,mean__equal_supply_regions,mean__award_decision_lag_days,mean__log1p_Quantity,mean__log1p_Approved_Budget_of_the_Contract,mean__log1p_Item_Budget,mean__log1p_Contract_Amount,z__high_risk_shortage,z__low_risk_shortage,z__overstocking,z__normal_inventory,z__understocking,z__unequal_supply_regions,z__equal_supply_regions,z__award_decision_lag_days,z__log1p_Quantity,z__log1p_Approved_Budget_of_the_Contract,z__log1p_Item_Budget,z__log1p_Contract_Amount
9,False,62,0.00012715210057320987,0.08308679516129033,0.9169132048387096,0.5593891406451614,0.8185207970967742,0.4406108872580645,0.6989404477419354,0.3010595423387097,0.0,0.3270231999999999,0.16695940629032258,0.6773099391935484,0.553048324354839,-0.9270303876818738,0.9270303850375906,0.47029948593900817,0.5324690771185235,-0.4702993556520691,-0.022772503155698037,0.02277251380382029,-0.5380486317555407,0.412750058451717,-1.1444013939858115,0.09489172481453785,-0.12271011781372188
10,False,27,5.537268895930107e-05,0.33918560000000003,0.6608144,0.45024387629629636,0.9886960033333332,0.5497561244444444,0.5871435281481481,0.4128564607407407,0.0,0.04094154400000001,0.2006936940740741,0.6963146000000001,0.5796676333333334,0.3965759041644096,-0.39657590263767223,-0.03999358120855257,1.2353471299622767,0.039993584866085875,-0.45245725809919546,0.4524572743897138,-0.5380486317555407,-0.6400703549011455,-0.9999483764378443,0.19604914147279395,0.02533706082935255
11,False,85,0.0001743214282052071,0.061765142588235296,0.9382348552941177,0.6653053884705883,0.6218588308235294,0.33469461317647065,0.6967559315294118,0.303244060882353,2.8307477647058823e-05,0.3912706698823527,0.24560727411764702,0.7177326805882354,0.6123797021176468,-1.037227987065557,1.0372279731292882,0.9654957483333303,-0.2798077696649656,-0.9654957411574552,-0.031168560192500805,0.031168579999896875,-0.5378806596661767,0.6491897125846415,-0.8076247024428287,0.31005263378183345,0.2072700138976822
12,False,66,0.00013535546190051375,0.04336179545454546,0.9566382045454545,0.7631530410606061,0.42445274469696964,0.23684694196969697,0.6691532075757576,0.3308467828030303,0.0,0.45858010893939394,0.3205736163636364,0.7580157712121213,0.6709843927272726,-1.1323427849363403,1.1323427816450653,1.4229684481451417,-1.0951580695392267,-1.4229685283363809,-0.13725797411279306,0.13725798863058908,-0.5380486317555407,0.8968978405415892,-0.4866126087124023,0.5244702139756016,0.5332085687645602
13,False,27,5.537268895930107e-05,0.31981916125925924,0.6801808385185185,0.09288720370370368,0.32516747592592593,0.9071127944444444,0.7456444281481484,0.2543555672222222,8.911613333333334e-05,0.0,0.0,0.5294062392592593,0.3355204229629629,0.29648351918024674,-0.2964835191174468,-1.7107635739408757,-1.5052379979446124,1.7107635666718695,0.15673144425757848,-0.1567314175493795,-0.5375198307334685,-0.7907409497238505,-1.8593354160483953,-0.6923654828737692,-1.3325233441162494
14,False,31,6.357605028660493e-05,0.14770985806451614,0.8522901419354839,0.4851045599999999,0.9564500732258062,0.5148954445161291,0.7012718290322583,0.2987281661290323,0.0,0.27675432000000005,0.11428896967741933,0.6476373567741937,0.5102782670967743,-0.5930362766552416,0.5930362750634592,0.12299255764181201,1.1021611208640538,-0.12299253644954157,-0.013811979001257076,0.013812008963351672,-0.5380486317555407,0.22775356563085153,-1.3699405710117298,-0.06304857276247199,-0.36058204426285717
15,False,25,5.1271008295649145e-05,0.38921547600000006,0.6107845239999999,0.5863745636,0.7684150924,0.4136254188000001,0.5670276240000001,0.4329723696,0.0,0.0,0.7102279984000001,0.9833673568000001,0.9936793824,0.6551474296957157,-0.655147427354154,0.596465969936735,0.32551648436140834,-0.5964660524838391,-0.5297715291521895,0.5297715653890036,-0.5380486317555407,-0.7907409497238505,1.1819197654334148,1.7239646153791222,2.327923932033372
16,False,29,5.9474369622953006e-05,0.11842255862068966,0.8815774413793103,0.8568035699999998,0.2662911034482758,0.14319642655172415,0.6945914275862071,0.30540856620689655,0.0,0.5355866610344827,0.3877123268965516,0.8016739527586206,0.7324160662068965,-0.7444030658889862,0.7444030638202079,1.8608180968456496,-1.7484162549938107,-1.860818114132523,-0.0394877012725012,0.03948772658691485,-0.5380486317555407,1.180292697594675,-0.19911908304708725,0.7568526230182172,0.8748698021695491
17,False,27,5.537268895930107e-05,0.4239820000000001,0.5760179999999999,0.3521004788888889,0.80646645,0.6478995107407408,0.6096992244444444,0.39030076555555554,0.0,0.04094154400000001,0.11041651707407407,0.6454557762962962,0.5060486840740741,0.8348327270988267,-0.8348327241910309,-0.4988489935994126,0.4826807665704785,0.4988489456366603,-0.3657657922621295,0.3657658107606178,-0.5380486317555407,-0.6400703549011455,-1.386522734164264,-0.07466062138694772,-0.38410548861121685
18,False,43,8.818613426851652e-05,0.053244251162790704,0.9467557488372093,0.7183144825581396,0.512470766744186,0.28168549744186056,0.6386909953488373,0.3613089923255814,0.0,0.4209968459069767,0.29782939813953485,0.738413141860465,0.6445572588372094,-1.0812668708469964,1.0812668677166746,1.2133321832902213,-0.7316154752925259,-1.2133322774992987,-0.2543376597009138,0.2543376666101289,-0.5380486317555407,0.7585861882875248,-0.5840052371058619,0.4201299489680998,0.3862301999719107
