row_index,cluster_id,PC1,PC2,PC3,log1p_Approved_Budget_of_the_Contract,log1p_Item_Budget,log1p_Contract_Amount,log1p_Quantity,award_decision_lag_days,high_risk_shortage,low_risk_shortage,overstocking,understocking,normal_inventory,unequal_supply_regions,equal_supply_regions
116,0,1.1939711823954475,-0.5611703521257104,-0.3764887784688218,0.4049821,0.8114031,0.74643356,0.12649684,0.0,0.5723757,0.4276243,0.69488215,0.30511785,0.5669417,0.0,1.0
120,0,1.489093929941526,0.7012948701881608,-0.148367497316356,0.46190462,0.84347117,0.79263514,0.5577273,0.0,0.5723757,0.4276243,0.913456,0.08654396,0.16110063,0.0,1.0
123,0,0.8772346020311076,0.2608670650444587,-0.3286308274912982,0.3632168,0.7878741,0.7125345,0.44310108,0.0,0.5723757,0.4276243,0.8067081,0.1932919,0.35930678,0.0,1.0
124,0,1.3185998850633045,-0.8624513414219599,-0.4019969656965238,0.42872763,0.82478046,0.7521702,0.0,0.0,0.5723757,0.4276243,0.37599808,0.6240019,0.8508387,0.0,1.0
126,0,1.802596626016321,-0.7929702982348762,-0.2879038605639216,0.49768713,0.8636297,0.8207538,0.0,0.0,0.5723757,0.4276243,0.5399356,0.46006444,0.85464156,0.0,1.0
127,0,1.3265685503827265,-0.888420566526236,-0.3942537914619831,0.42261642,0.82133764,0.7607466,0.0,0.0,0.5723757,0.4276243,0.5023596,0.49764037,0.92441136,0.0,1.0
129,0,1.2208311824457858,-0.5182312050976495,-0.3654017811962944,0.40952393,0.8139618,0.75012,0.13998006,0.0,0.5723757,0.4276243,0.70228094,0.29771906,0.5532038,0.0,1.0
130,0,2.122169410612313,-0.7317613565737798,-0.2158870215460577,0.54731745,0.8915896,0.8618268,0.0,0.0,0.5723757,0.4276243,0.55733234,0.44266766,0.82233983,0.0,1.0
134,0,1.4641536831692976,-0.3919123579823992,-0.3161595673814444,0.46003443,0.8424176,0.76886106,0.15187313,0.0,0.5723757,0.4276243,0.7381212,0.26187882,0.4866568,0.0,1.0
138,0,1.160123803524554,0.6366312766486446,-0.2221441629621899,0.4103726,0.81443995,0.75080884,0.5577273,0.0,0.0,1.0,0.8806357,0.11936434,0.22204044,0.0,1.0
140,0,1.753277376853922,-0.8044508657244838,-0.298578124480113,0.48948404,0.8590084,0.8149738,0.0,0.0,0.5723757,0.4276243,0.5365158,0.4634842,0.8609913,0.0,1.0
144,0,1.6884190032738724,-0.8172939630265793,-0.3131032293531011,0.479299,0.85327053,0.8067534,0.0,0.0,0.5723757,0.4276243,0.5325443,0.4674557,0.8683654,0.0,1.0
145,0,2.3912637521518203,-0.3603527346272079,-0.1157579817438423,0.5945394,0.9181927,0.89589,0.11093158,0.0,0.5723757,0.4276243,0.7634155,0.23658447,0.43969104,0.0,1.0
146,0,1.1176100539362512,-0.5782338908499101,-0.5170954396676188,0.48376563,0.85578686,0.63769764,0.0,0.0,0.5723757,0.4276243,0.5343688,0.46563116,0.8649777,0.0,1.0
147,0,0.8591682934429856,-0.2254640955616996,-0.6623493207340786,0.55114436,0.89374554,0.49398923,0.0,0.0,0.5723757,0.4276243,0.55826503,0.44173494,0.82060796,0.0,1.0
155,0,1.7547875768236385,-0.8020094911504508,-0.2987033436492903,0.49029377,0.8594646,0.81457675,0.0,0.0,0.5723757,0.4276243,0.5367639,0.46323606,0.86053056,0.0,1.0
156,0,1.0978899235546766,-0.9333704905972756,-0.4455384945525548,0.38679472,0.801157,0.7316717,0.0,0.0,0.5723757,0.4276243,0.47605067,0.5239493,0.973261,0.0,1.0
157,0,0.7596427932213745,0.2215187059602978,-0.3578344216520486,0.34513056,0.777685,0.69694483,0.43662617,0.0,0.5723757,0.4276243,0.78717506,0.21282491,0.39557508,0.0,1.0
158,0,0.919131508175876,-0.5655864951012515,-0.4356470594437083,0.36545706,0.7891362,0.70847917,0.13998006,0.0,0.5723757,0.4276243,0.6716025,0.3283975,0.61016655,0.0,1.0
160,0,1.5947529575492028,-0.8357052004687496,-0.3341092784361901,0.46462658,0.8450046,0.7948444,0.0,0.0,0.5723757,0.4276243,0.5259076,0.47409242,0.8806883,0.0,1.0
161,0,2.342930946829661,-0.6827262815680359,-0.1675980627390002,0.58340675,0.91192096,0.8883456,0.0,0.0,0.5723757,0.4276243,0.56616074,0.43383923,0.8059475,0.0,1.0
162,0,1.017125529721393,-0.595931861058257,-0.4161491890511848,0.37727982,0.7957967,0.72394884,0.12649684,0.0,0.5723757,0.4276243,0.6755645,0.32443547,0.60281,0.0,1.0
165,0,1.5589572757633268,-0.728389067159398,-0.3267626916135586,0.46003443,0.8424176,0.7911172,0.040941544,0.0,0.5723757,0.4276243,0.67277646,0.32722357,0.60798687,0.0,1.0
166,0,1.3777815228100172,-0.8783539549683465,-0.3827684534864441,0.43063876,0.8258571,0.767258,0.0,0.0,0.5723757,0.4276243,0.5123406,0.48765942,0.9058791,0.0,1.0
169,0,1.676939067013003,-0.8195504097485736,-0.3156777712471613,0.47750074,0.85225743,0.8052938,0.0,0.0,0.5723757,0.4276243,0.5320588,0.46794125,0.869267,0.0,1.0
173,0,1.3916378759600443,-0.8756302852930499,-0.3796610111805245,0.4328093,0.82707995,0.7690197,0.0,0.0,0.5723757,0.4276243,0.5131203,0.48687974,0.90443134,0.0,1.0
180,0,1.842337827048348,-0.7870390418337486,-0.2785845654309792,0.50340986,0.8668537,0.8263231,0.0,0.0,0.0,1.0,0.54336035,0.45663962,0.84828246,0.0,1.0
182,0,0.8427027521299122,0.4305457867485847,-0.312649720834822,0.35937408,0.78570926,0.70941556,0.5062813,0.0,0.5723757,0.4276243,0.8276884,0.17231162,0.32035127,0.0,1.0
183,0,1.206702422706366,-0.9119288633688346,-0.4211471293321274,0.40385398,0.8107676,0.74549186,0.0,0.0,0.5723757,0.4276243,0.4882447,0.5117553,0.95061946,0.0,1.0
184,0,1.160123803524554,0.6366312766486446,-0.2221441629621899,0.4103726,0.81443995,0.75080884,0.5577273,0.0,0.0,1.0,0.8806357,0.11936434,0.22204044,0.0,1.0
189,0,1.7812042241045662,-0.7937070699786435,-0.2934516071826356,0.49526304,0.86226404,0.8170813,0.0,0.0,0.5723757,0.4276243,0.5385765,0.46142352,0.8571651,0.0,1.0
