row_index,cluster_id,PC1,PC2,PC3,log1p_Approved_Budget_of_the_Contract,log1p_Item_Budget,log1p_Contract_Amount,log1p_Quantity,award_decision_lag_days,high_risk_shortage,low_risk_shortage,overstocking,understocking,normal_inventory,unequal_supply_regions,equal_supply_regions
264681,4,1.4706688266796155,2.448765774709647,0.257089215065298,0.65095186,0.8193353,0.757182,1.0,0.034287434,0.21086259,0.7891374,0.97200656,0.027993418,0.052385826,1.0,0.0
264683,4,0.3899945335781802,2.7010695434063225,0.0470693425898144,0.65095186,0.6932491,0.5746598,0.9835902,0.034287434,0.21086259,0.7891374,0.76758915,0.23241083,0.43194157,1.0,0.0
264684,4,0.6053739388134182,2.6865965390991047,0.0936556149316519,0.65095186,0.71871424,0.6112905,1.0,0.034287434,0.21086259,0.7891374,0.8166607,0.18333928,0.3408271,1.0,0.0
264686,4,1.147887076209909,1.9879463849657928,0.3612577830588969,0.47764587,0.8179406,0.75322485,1.0,0.0691764,0.3617994,0.6382006,0.9738557,0.026144348,0.048952527,1.0,0.0
264688,4,0.69219773815647,1.5436044043542785,0.195892768431631,0.47764587,0.76225567,0.66958874,0.7900476,0.0691764,0.3617994,0.6382006,0.87008727,0.12991273,0.24162637,1.0,0.0
264711,4,1.1333520633525151,0.8546049964823835,0.2415580940326495,0.6967468,0.7650438,0.67873573,0.34343344,0.08180861,0.38020757,0.61979246,0.73042005,0.26957992,0.50095594,1.0,0.0
264738,4,0.5203042721580848,0.9678926552264372,1.2119235081246926,0.6967468,0.7338324,0.58826303,0.3737363,0.2682841,0.418922,0.581078,0.6900951,0.3099049,0.5758301,1.0,0.0
264740,4,0.6486666849979152,0.9320518939739862,1.2042114533512105,0.6967468,0.76947016,0.58826303,0.3659652,0.2682841,0.418922,0.581078,0.7449538,0.2550462,0.4739702,1.0,0.0
264745,4,0.7253883236700707,2.326658364271702,0.0435350180759096,0.6303712,0.73359585,0.63376033,0.9009657,0.028873628,0.16885246,0.83114755,0.8393244,0.16067557,0.29874584,1.0,0.0
264775,4,0.5092665675192657,1.4693968841048302,-0.1219152978236109,0.6303712,0.7021879,0.58839464,0.5637895,0.028873628,0.16885246,0.83114755,0.70517546,0.2948245,0.54782933,1.0,0.0
264794,4,1.3659346116780149,1.0438238785576162,0.0137852401845938,0.6303712,0.8006703,0.73080665,0.49379945,0.028873628,0.16885246,0.83114755,0.84045047,0.1595495,0.296655,1.0,0.0
264796,4,0.6190637053310106,1.328322392240714,-0.1164898003509334,0.6303712,0.71434915,0.6056673,0.5229428,0.028873628,0.16885246,0.83114755,0.71195203,0.28804797,0.53524685,1.0,0.0
264798,4,0.6566000830086103,1.2622473698890395,-0.1166070073874501,0.6303712,0.71808934,0.61170685,0.5025221,0.028873628,0.16885246,0.83114755,0.7074824,0.2925176,0.5435459,1.0,0.0
264802,4,0.6762822117569534,1.978532459758744,-0.0167149151588061,0.6303712,0.7265847,0.62073183,0.76752084,0.028873628,0.16885246,0.83114755,0.8069317,0.19306833,0.35889167,1.0,0.0
264809,4,1.2098500633379636,1.232794624086131,0.004287888983551,0.6303712,0.7834398,0.70599663,0.5475577,0.028873628,0.16885246,0.83114755,0.83732796,0.16267201,0.30245277,1.0,0.0
264813,4,1.0781815045220946,1.902559159076739,0.0655085410025394,0.6303712,0.77250004,0.689932,0.78059316,0.028873628,0.16885246,0.83114755,0.8826598,0.117340185,0.21828206,1.0,0.0
264820,4,1.385951024406206,1.236718714204848,0.0445649191231897,0.6303712,0.80434006,0.7361305,0.5667815,0.028873628,0.16885246,0.83114755,0.8732495,0.12675054,0.23575492,1.0,0.0
264828,4,0.9156576694540186,1.3979818883456994,-0.0397413154796661,0.6303712,0.7497604,0.65726465,0.57859266,0.028873628,0.16885246,0.83114755,0.79727006,0.20272997,0.3768311,1.0,0.0
264829,4,1.102892122026712,1.356775332807395,-0.0032817860519287,0.6303712,0.7717975,0.68872994,0.5822941,0.028873628,0.16885246,0.83114755,0.83298934,0.16701066,0.3105086,1.0,0.0
264884,4,1.635978772984077,2.899441225980808,0.3992303409766792,0.9546279,0.8332415,0.65502733,0.83749825,0.06316106,0.34916103,0.650839,0.97501636,0.02498364,0.046797365,1.0,0.0
264885,4,1.4135860512538043,3.2071546968820948,0.4670064601375501,0.9546279,0.7595211,0.67168546,0.9462957,0.06316106,0.34916103,0.650839,0.8845769,0.1154231,0.21472248,1.0,0.0
264886,4,0.8706905742450828,2.9144285823124534,0.2632134633452943,0.9546279,0.7128443,0.55496204,0.7759887,0.06135646,0.34525916,0.65474087,0.77874154,0.22125846,0.41123423,1.0,0.0
264887,4,-0.2373523845230768,3.40857406233733,0.0450308239185189,0.9546279,0.6078253,0.346454,0.83749825,0.06135646,0.34525916,0.65474087,0.6200357,0.37996426,0.70591414,1.0,0.0
264888,4,0.581796143265605,2.607378832109137,0.1298815029614573,0.9546279,0.6936438,0.48469207,0.62761647,0.06135646,0.34525916,0.65474087,0.707216,0.292784,0.54404056,1.0,0.0
264890,4,0.9714263261524276,3.2331277086814376,0.319076168153187,0.9546279,0.73359585,0.56835717,0.9009657,0.06135646,0.34525916,0.65474087,0.8393244,0.16067557,0.29874584,1.0,0.0
264891,4,0.9260846145367652,3.239568121898893,0.3190279402192701,0.9546279,0.7222168,0.56698895,0.9009657,0.06135646,0.34525916,0.65474087,0.81394,0.18606,0.3458788,1.0,0.0
264892,4,0.0908589542335836,3.143885930909648,0.1089678075330763,0.9546279,0.6281188,0.41751266,0.77941114,0.06135646,0.34525916,0.65474087,0.6299109,0.37008914,0.68757826,1.0,0.0
264894,4,-0.6059138149723166,3.0049789623723995,-0.0520126047413481,0.9546279,0.53473,0.30736846,0.6615627,0.06135646,0.34525916,0.65474087,0.51645815,0.48354185,0.89823365,1.0,0.0
264896,4,0.0424625280908336,2.998119458630936,-0.0201777435703613,0.9546279,0.6853244,0.34103638,0.6975561,0.06135646,0.34525916,0.65474087,0.7104607,0.2895393,0.5380159,1.0,0.0
264897,4,-0.875715446983427,3.3629081064501523,-0.1145439389899398,0.9546279,0.53788745,0.23060368,0.75404125,0.06135646,0.34525916,0.65474087,0.5420435,0.45795652,0.8507276,1.0,0.0
264899,4,-0.3093815428267204,3.4948063412719885,0.0449972632609919,0.9546279,0.59695524,0.33803686,0.8630119,0.06135646,0.34525916,0.65474087,0.61437577,0.38562423,0.71642333,1.0,0.0
264902,4,0.0991752194714358,3.239772746752796,0.1596842531231596,0.9546279,0.6064976,0.4441665,0.8240168,0.06135646,0.34525916,0.65474087,0.6170329,0.3829671,0.71148974,1.0,0.0
264903,4,-0.4661144734248723,2.670386757825133,-0.0443667364988412,0.9546279,0.5349835,0.34265217,0.5577273,0.06135646,0.34525916,0.65474087,0.48598692,0.5140131,0.9548117,1.0,0.0
264904,4,-0.1467178751931128,2.3298573988102294,-0.0152598932205163,0.9546279,0.56835175,0.39617547,0.46550733,0.06135646,0.34525916,0.65474087,0.4807061,0.5192939,0.96461695,1.0,0.0
264905,4,0.0886158725743812,2.2104736262962423,-0.0151655705522347,0.9546279,0.6193308,0.41026548,0.43662617,0.06135646,0.34525916,0.65474087,0.5190781,0.4809219,0.893369,1.0,0.0
264906,4,1.15591761286365,2.0914491901725083,0.2334354544949994,0.9546279,0.72948897,0.6077347,0.5062813,0.06135646,0.34525916,0.65474087,0.73837376,0.26162627,0.48618788,1.0,0.0
264907,4,1.2666852168887217,2.696246032197644,0.334566202312749,0.9546279,0.7507205,0.6284171,0.7384808,0.06135646,0.34525916,0.65474087,0.8419985,0.15800148,0.29378065,1.0,0.0
264909,4,1.2999106662168003,2.3045649790371567,0.2630263066641913,0.9546279,0.7687314,0.6127809,0.5916447,0.06135646,0.34525916,0.65474087,0.83080834,0.16919163,0.31455818,1.0,0.0
264910,4,1.8696408745935835,2.439619476332932,0.4546282617036061,0.9546279,0.80816823,0.74177295,0.7094435,0.06135646,0.34525916,0.65474087,0.9174451,0.08255486,0.15369378,1.0,0.0
264911,4,2.019736619491812,2.0978103751904698,0.440896365335006,0.9546279,0.82435566,0.7633261,0.5986016,0.06135646,0.34525916,0.65474087,0.91270345,0.08729657,0.16249803,1.0,0.0
264912,4,0.7740587756369389,2.823058251907821,0.253666142426966,0.9546279,0.6847261,0.55431044,0.7384808,0.06135646,0.34525916,0.65474087,0.71455747,0.2854425,0.5304091,1.0,0.0
264913,4,1.9668982539856303,2.199319191444808,0.4301803034357434,0.9546279,0.8269698,0.7467383,0.62761647,0.06135646,0.34525916,0.65474087,0.92361146,0.07638856,0.14224438,1.0,0.0
264914,4,1.0234332700849305,2.2271174905750946,0.1901155180720805,0.9546279,0.7354196,0.5647876,0.5352459,0.06135646,0.34525916,0.65474087,0.7565735,0.24342653,0.45239517,1.0,0.0
264915,4,1.7868013912511054,2.070048638936796,0.3544465666787643,0.9546279,0.81611687,0.70281523,0.5577273,0.06135646,0.34525916,0.65474087,0.8830106,0.11698939,0.21763073,1.0,0.0
264916,4,2.484662602203248,2.358765741299276,0.5684494923096503,0.9546279,0.88960236,0.8365996,0.7384808,0.06135646,0.34525916,0.65474087,0.99578756,0.004212455,0.008230087,1.0,0.0
264917,4,0.3938282199168239,1.992701672966548,0.0606816640904148,0.9546279,0.6302526,0.4851274,0.39601842,0.06135646,0.34525916,0.65474087,0.51193374,0.48806626,0.90663445,1.0,0.0
264918,4,0.6494509034533055,2.1350787944143086,0.1011046201500919,0.9546279,0.6853244,0.5053429,0.46550733,0.06135646,0.34525916,0.65474087,0.63609797,0.36390206,0.6760903,1.0,0.0
264919,4,1.9940328104123208,2.52847959556406,0.4920561259208525,0.9546279,0.8252929,0.76204604,0.75404125,0.06135646,0.34525916,0.65474087,0.9544234,0.045576595,0.08503371,1.0,0.0
