cluster_id,cluster_label,rationale_short
50,"Strong understocking / lean-stock segment · mean PC=(-2.49,-0.86,-0.43)",Strongest theme deviations vs cohort (z): normal_inventory=-2.29; understocking=2.15; overstocking=-2.15; low_risk_shortage=0.68; high_risk_shortage=-0.68
51,"Mixed procurement profile segment · mean PC=(-0.33,0.32,-0.45)",Strongest theme deviations vs cohort (z): low_risk_shortage=1.03; high_risk_shortage=-1.03; normal_inventory=0.30; unequal_supply_regions=-0.23; equal_supply_regions=0.23
52,"Mixed procurement profile segment · mean PC=(-0.30,-0.13,-0.49)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.99; high_risk_shortage=-0.99; normal_inventory=0.16; unequal_supply_regions=-0.14; equal_supply_regions=0.14
53,"Strong understocking / lean-stock segment · mean PC=(-1.74,0.68,-0.66)",Strongest theme deviations vs cohort (z): understocking=1.73; overstocking=-1.73; normal_inventory=-1.53; unequal_supply_regions=0.84; equal_supply_regions=-0.84
54,"Moderate understocking segment · mean PC=(-1.16,1.36,-0.53)",Strongest theme deviations vs cohort (z): equal_supply_regions=2.25; unequal_supply_regions=-2.25; understocking=0.62; overstocking=-0.62; low_risk_shortage=0.48
55,"Strong understocking / lean-stock segment · mean PC=(-2.19,-0.76,-0.34)",Strongest theme deviations vs cohort (z): normal_inventory=-2.29; understocking=2.15; overstocking=-2.15; high_risk_shortage=-0.85; low_risk_shortage=0.85
56,"Mixed procurement profile segment · mean PC=(0.43,-0.66,-0.42)",Strongest theme deviations vs cohort (z): high_risk_shortage=-0.75; low_risk_shortage=0.75; normal_inventory=0.41; equal_supply_regions=0.22; unequal_supply_regions=-0.22
57,"Mixed procurement profile segment · mean PC=(0.65,-0.70,-0.39)",Strongest theme deviations vs cohort (z): normal_inventory=0.82; low_risk_shortage=0.39; high_risk_shortage=-0.39; overstocking=0.13; understocking=-0.13
58,"Strong understocking / lean-stock segment · mean PC=(-0.38,-0.81,-0.61)",Strongest theme deviations vs cohort (z): high_risk_shortage=-1.01; low_risk_shortage=1.01; overstocking=-0.68; understocking=0.68; normal_inventory=0.11
59,"Strong understocking / lean-stock segment · mean PC=(-1.32,-1.41,-0.86)",Strongest theme deviations vs cohort (z): overstocking=-1.46; understocking=1.46; normal_inventory=-1.10; low_risk_shortage=0.93; high_risk_shortage=-0.93
60,"Mixed procurement profile segment · mean PC=(0.67,-0.76,-0.39)",Strongest theme deviations vs cohort (z): normal_inventory=0.89; high_risk_shortage=-0.84; low_risk_shortage=0.84; overstocking=-0.18; understocking=0.18
61,"Mixed procurement profile segment · mean PC=(0.80,-0.76,-0.37)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.95; high_risk_shortage=-0.95; normal_inventory=0.86; understocking=-0.03; overstocking=0.03
62,"Strong understocking / lean-stock segment · mean PC=(-2.71,-0.62,-0.49)",Strongest theme deviations vs cohort (z): overstocking=-1.34; understocking=1.34; normal_inventory=-0.89; low_risk_shortage=0.71; high_risk_shortage=-0.71
63,"Strong understocking / lean-stock segment · mean PC=(-0.51,-0.78,-0.62)",Strongest theme deviations vs cohort (z): high_risk_shortage=-0.86; low_risk_shortage=0.86; understocking=0.75; overstocking=-0.75; equal_supply_regions=-0.05
64,"Mixed procurement profile segment · mean PC=(-0.23,0.01,-0.47)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.81; high_risk_shortage=-0.81; unequal_supply_regions=-0.34; equal_supply_regions=0.34; understocking=0.17
65,"Overstocking-heavy procurement segment · mean PC=(-0.03,-0.05,-0.44)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.91; high_risk_shortage=-0.91; understocking=-0.56; overstocking=0.56; equal_supply_regions=0.21
66,"Overstocking-heavy procurement segment · mean PC=(0.19,-0.39,-0.44)",Strongest theme deviations vs cohort (z): high_risk_shortage=-0.96; low_risk_shortage=0.96; overstocking=0.63; understocking=-0.63; normal_inventory=0.08
67,"Overstocking-heavy procurement segment · mean PC=(1.29,-0.79,-0.25)",Strongest theme deviations vs cohort (z): overstocking=0.73; understocking=-0.73; low_risk_shortage=0.67; high_risk_shortage=-0.67; equal_supply_regions=-0.18
68,"Mixed procurement profile segment · mean PC=(0.10,-0.94,-0.53)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.81; high_risk_shortage=-0.81; normal_inventory=0.60; unequal_supply_regions=0.28; equal_supply_regions=-0.28
69,"Strong understocking / lean-stock segment · mean PC=(-0.65,-0.64,-0.59)",Strongest theme deviations vs cohort (z): overstocking=-1.04; understocking=1.04; low_risk_shortage=0.61; high_risk_shortage=-0.61; normal_inventory=-0.44
70,"Strong understocking / lean-stock segment · mean PC=(-0.63,-1.16,-0.70)",Strongest theme deviations vs cohort (z): high_risk_shortage=-0.88; low_risk_shortage=0.88; overstocking=-0.82; understocking=0.82; normal_inventory=-0.04
71,"Moderate understocking segment · mean PC=(-0.31,-0.54,-0.56)",Strongest theme deviations vs cohort (z): high_risk_shortage=-0.75; low_risk_shortage=0.75; understocking=0.43; overstocking=-0.43; unequal_supply_regions=-0.17
72,"Mixed procurement profile segment · mean PC=(-0.30,0.05,-0.47)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.97; high_risk_shortage=-0.97; unequal_supply_regions=-0.15; equal_supply_regions=0.15; overstocking=0.05
73,"Strong understocking / lean-stock segment · mean PC=(-2.27,0.33,-0.22)",Strongest theme deviations vs cohort (z): equal_supply_regions=0.96; unequal_supply_regions=-0.96; low_risk_shortage=0.93; high_risk_shortage=-0.93; overstocking=-0.67
74,"Strong understocking / lean-stock segment · mean PC=(-2.22,-0.46,-0.32)",Strongest theme deviations vs cohort (z): overstocking=-1.28; understocking=1.28; high_risk_shortage=-0.96; low_risk_shortage=0.96; normal_inventory=-0.81
75,"Strong understocking / lean-stock segment · mean PC=(-2.23,-0.29,-0.30)",Strongest theme deviations vs cohort (z): overstocking=-1.13; understocking=1.13; high_risk_shortage=-0.94; low_risk_shortage=0.94; normal_inventory=-0.55
