cluster_id,cluster_label,rationale_short
240,"Mixed procurement profile segment · mean PC=(-0.25,-1.01,-0.59)",Strongest theme deviations vs cohort (z): normal_inventory=1.06; high_risk_shortage=-0.92; low_risk_shortage=0.92; equal_supply_regions=0.23; unequal_supply_regions=-0.23
241,"High shortage-risk segment · mean PC=(-0.63,-1.51,2.16)",Strongest theme deviations vs cohort (z): high_risk_shortage=1.18; low_risk_shortage=-1.18; understocking=0.85; overstocking=-0.85; unequal_supply_regions=0.27
242,"Strong understocking / lean-stock segment · mean PC=(-2.51,-0.20,-0.37)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.99; high_risk_shortage=-0.99; overstocking=-0.98; understocking=0.98; normal_inventory=-0.30
243,"Strong understocking / lean-stock segment · mean PC=(-0.66,-0.86,-0.63)",Strongest theme deviations vs cohort (z): overstocking=-1.45; understocking=1.45; high_risk_shortage=-1.09; low_risk_shortage=1.09; normal_inventory=-1.07
244,"High shortage-risk segment · mean PC=(-2.83,-0.87,2.09)",Strongest theme deviations vs cohort (z): normal_inventory=-2.29; understocking=2.15; overstocking=-2.15; high_risk_shortage=0.91; low_risk_shortage=-0.91
245,"High shortage-risk segment · mean PC=(-2.87,-0.16,2.18)",Strongest theme deviations vs cohort (z): overstocking=-0.93; understocking=0.93; high_risk_shortage=0.91; low_risk_shortage=-0.91; unequal_supply_regions=0.27
246,"High shortage-risk segment · mean PC=(-0.61,-1.50,2.08)",Strongest theme deviations vs cohort (z): low_risk_shortage=-1.01; high_risk_shortage=1.01; understocking=0.84; overstocking=-0.84; unequal_supply_regions=0.27
247,"High shortage-risk segment · mean PC=(-2.87,-0.25,2.16)",Strongest theme deviations vs cohort (z): understocking=1.01; overstocking=-1.01; high_risk_shortage=0.91; low_risk_shortage=-0.91; normal_inventory=-0.36
248,"Strong understocking / lean-stock segment · mean PC=(-2.44,-0.11,-0.23)",Strongest theme deviations vs cohort (z): unequal_supply_regions=1.10; equal_supply_regions=-1.10; overstocking=-0.95; understocking=0.95; normal_inventory=-0.25
249,"Moderate understocking segment · mean PC=(-0.74,1.37,-0.37)",Strongest theme deviations vs cohort (z): unequal_supply_regions=0.94; equal_supply_regions=-0.94; overstocking=-0.47; understocking=0.47; normal_inventory=0.24
250,"High shortage-risk segment · mean PC=(-2.84,-0.12,2.18)",Strongest theme deviations vs cohort (z): overstocking=-0.93; understocking=0.93; high_risk_shortage=0.91; low_risk_shortage=-0.91; unequal_supply_regions=0.27
251,"Strong understocking / lean-stock segment · mean PC=(-2.70,-0.81,-0.52)",Strongest theme deviations vs cohort (z): understocking=1.50; overstocking=-1.50; normal_inventory=-1.15; low_risk_shortage=1.08; high_risk_shortage=-1.08
252,"Strong understocking / lean-stock segment · mean PC=(-2.24,-0.05,-0.27)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.99; high_risk_shortage=-0.99; overstocking=-0.93; understocking=0.93; unequal_supply_regions=0.27
253,"High shortage-risk segment · mean PC=(-0.37,-1.34,2.13)",Strongest theme deviations vs cohort (z): low_risk_shortage=-1.33; high_risk_shortage=1.33; overstocking=-0.49; understocking=0.49; normal_inventory=0.49
254,"Strong understocking / lean-stock segment · mean PC=(-2.13,-0.74,-0.25)",Strongest theme deviations vs cohort (z): normal_inventory=-2.29; understocking=2.15; overstocking=-2.15; unequal_supply_regions=0.36; equal_supply_regions=-0.36
255,"Strong understocking / lean-stock segment · mean PC=(-0.40,-1.15,-0.61)",Strongest theme deviations vs cohort (z): understocking=0.88; overstocking=-0.88; high_risk_shortage=-0.41; low_risk_shortage=0.41; normal_inventory=-0.15
256,"Mixed procurement profile segment · mean PC=(-0.25,-0.90,-0.59)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.84; high_risk_shortage=-0.84; normal_inventory=0.75; overstocking=-0.24; understocking=0.24
257,"Strong understocking / lean-stock segment · mean PC=(-2.51,-0.38,-0.39)",Strongest theme deviations vs cohort (z): overstocking=-1.13; understocking=1.13; low_risk_shortage=0.86; high_risk_shortage=-0.86; normal_inventory=-0.55
258,"Overstocking-heavy procurement segment · mean PC=(0.20,-0.46,-0.44)",Strongest theme deviations vs cohort (z): high_risk_shortage=-0.60; low_risk_shortage=0.60; overstocking=0.43; understocking=-0.43; unequal_supply_regions=-0.23
259,"Mixed procurement profile segment · mean PC=(-0.15,0.26,-0.42)",Strongest theme deviations vs cohort (z): high_risk_shortage=-1.07; low_risk_shortage=1.07; unequal_supply_regions=-0.16; equal_supply_regions=0.16; normal_inventory=-0.03
260,"Strong understocking / lean-stock segment · mean PC=(-1.85,0.22,-0.75)",Strongest theme deviations vs cohort (z): understocking=1.59; overstocking=-1.59; normal_inventory=-1.33; unequal_supply_regions=-0.12; equal_supply_regions=0.12
261,"Strong understocking / lean-stock segment · mean PC=(-0.63,-0.92,-0.67)",Strongest theme deviations vs cohort (z): understocking=0.77; overstocking=-0.77; high_risk_shortage=-0.57; low_risk_shortage=0.57; unequal_supply_regions=-0.25
262,"High shortage-risk segment · mean PC=(-0.34,-1.32,2.05)",Strongest theme deviations vs cohort (z): high_risk_shortage=1.06; low_risk_shortage=-1.06; normal_inventory=0.54; understocking=0.47; overstocking=-0.47
263,"Moderate understocking segment · mean PC=(-0.39,-0.65,-0.59)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.84; high_risk_shortage=-0.84; overstocking=-0.60; understocking=0.60; unequal_supply_regions=-0.16
264,"Strong understocking / lean-stock segment · mean PC=(-0.73,-0.85,-0.63)",Strongest theme deviations vs cohort (z): overstocking=-1.56; understocking=1.56; normal_inventory=-1.26; low_risk_shortage=0.87; high_risk_shortage=-0.87
265,"Strong understocking / lean-stock segment · mean PC=(-2.69,-0.73,-0.50)",Strongest theme deviations vs cohort (z): understocking=1.40; overstocking=-1.40; normal_inventory=-1.00; low_risk_shortage=0.87; high_risk_shortage=-0.87
266,"Strong understocking / lean-stock segment · mean PC=(-2.05,0.70,-0.75)",Strongest theme deviations vs cohort (z): understocking=1.21; overstocking=-1.21; normal_inventory=-0.68; unequal_supply_regions=-0.33; equal_supply_regions=0.33
267,"Mixed procurement profile segment · mean PC=(-0.18,0.43,-0.38)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.82; high_risk_shortage=-0.82; unequal_supply_regions=-0.51; equal_supply_regions=0.51; understocking=0.19
268,"Moderate understocking segment · mean PC=(-1.03,0.85,-0.55)",Strongest theme deviations vs cohort (z): unequal_supply_regions=0.91; equal_supply_regions=-0.91; understocking=0.56; overstocking=-0.56; low_risk_shortage=0.50
269,"Strong understocking / lean-stock segment · mean PC=(-0.81,-1.65,-0.79)",Strongest theme deviations vs cohort (z): overstocking=-1.53; understocking=1.53; normal_inventory=-1.21; low_risk_shortage=1.05; high_risk_shortage=-1.05
270,"Moderate understocking segment · mean PC=(-0.63,-0.31,-0.54)",Strongest theme deviations vs cohort (z): understocking=0.55; overstocking=-0.55; unequal_supply_regions=-0.52; equal_supply_regions=0.52; low_risk_shortage=0.25
271,"Severe surplus / extreme overstocking segment · mean PC=(0.13,0.64,-0.31)",Strongest theme deviations vs cohort (z): overstocking=1.26; understocking=-1.26; high_risk_shortage=-0.90; low_risk_shortage=0.90; normal_inventory=-0.76
272,"Mixed procurement profile segment · mean PC=(-0.24,0.34,-0.41)",Strongest theme deviations vs cohort (z): low_risk_shortage=1.02; high_risk_shortage=-1.02; unequal_supply_regions=-0.47; equal_supply_regions=0.47; normal_inventory=-0.26
273,"Strong understocking / lean-stock segment · mean PC=(-2.55,-0.22,-0.32)",Strongest theme deviations vs cohort (z): overstocking=-1.01; understocking=1.01; normal_inventory=-0.36; low_risk_shortage=0.30; high_risk_shortage=-0.30
274,"Strong understocking / lean-stock segment · mean PC=(-1.98,-0.09,-0.85)",Strongest theme deviations vs cohort (z): understocking=1.83; overstocking=-1.83; normal_inventory=-1.70; unequal_supply_regions=0.92; equal_supply_regions=-0.92
275,"Strong understocking / lean-stock segment · mean PC=(-1.53,0.12,-0.67)",Strongest theme deviations vs cohort (z): overstocking=-0.81; understocking=0.81; unequal_supply_regions=0.23; equal_supply_regions=-0.23; low_risk_shortage=0.14
276,"Strong understocking / lean-stock segment · mean PC=(-1.67,0.74,-0.70)",Strongest theme deviations vs cohort (z): overstocking=-0.99; understocking=0.99; high_risk_shortage=-0.40; low_risk_shortage=0.40; normal_inventory=-0.32
277,"Strong understocking / lean-stock segment · mean PC=(-0.52,-0.32,-0.54)",Strongest theme deviations vs cohort (z): understocking=0.82; overstocking=-0.82; low_risk_shortage=0.80; high_risk_shortage=-0.80; unequal_supply_regions=-0.32
278,"High shortage-risk segment · mean PC=(-0.46,-1.39,2.75)",Strongest theme deviations vs cohort (z): high_risk_shortage=1.31; low_risk_shortage=-1.31; normal_inventory=0.53; understocking=0.47; overstocking=-0.47
279,"Mixed procurement profile segment · mean PC=(0.90,-0.79,-0.29)",Strongest theme deviations vs cohort (z): normal_inventory=1.07; high_risk_shortage=-0.37; low_risk_shortage=0.37; equal_supply_regions=-0.16; unequal_supply_regions=0.16
280,"Strong understocking / lean-stock segment · mean PC=(-2.00,0.22,-0.10)",Strongest theme deviations vs cohort (z): equal_supply_regions=1.08; unequal_supply_regions=-1.08; overstocking=-0.80; understocking=0.80; low_risk_shortage=0.40
281,"High shortage-risk segment · mean PC=(-2.86,-0.62,-0.88)",Strongest theme deviations vs cohort (z): normal_inventory=-2.06; overstocking=-2.05; understocking=2.05; high_risk_shortage=0.44; low_risk_shortage=-0.44
282,"High shortage-risk segment · mean PC=(-2.98,-0.59,-0.90)",Strongest theme deviations vs cohort (z): normal_inventory=-2.09; understocking=2.06; overstocking=-2.06; high_risk_shortage=0.44; low_risk_shortage=-0.44
283,"Overstocking-heavy procurement segment · mean PC=(0.25,0.36,-0.32)",Strongest theme deviations vs cohort (z): overstocking=1.05; understocking=-1.05; low_risk_shortage=0.81; high_risk_shortage=-0.81; normal_inventory=-0.64
284,"Mixed procurement profile segment · mean PC=(-0.48,-0.48,-0.58)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.53; high_risk_shortage=-0.53; unequal_supply_regions=-0.39; equal_supply_regions=0.39; normal_inventory=0.37
285,"Moderate understocking segment · mean PC=(-1.44,0.92,0.09)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.99; high_risk_shortage=-0.99; understocking=0.50; overstocking=-0.50; normal_inventory=0.48
286,"Strong understocking / lean-stock segment · mean PC=(-0.48,-0.92,-0.64)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.71; high_risk_shortage=-0.71; overstocking=-0.68; understocking=0.68; equal_supply_regions=0.25
287,"Mixed procurement profile segment · mean PC=(-0.54,-0.14,-0.55)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.91; high_risk_shortage=-0.91; normal_inventory=0.56; equal_supply_regions=0.33; unequal_supply_regions=-0.33
288,"Mixed procurement profile segment · mean PC=(-0.47,0.05,-0.49)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.93; high_risk_shortage=-0.93; normal_inventory=0.15; equal_supply_regions=-0.03; unequal_supply_regions=0.03
289,"High shortage-risk segment · mean PC=(-2.98,-0.96,-1.33)",Strongest theme deviations vs cohort (z): understocking=2.02; overstocking=-2.02; normal_inventory=-2.01; high_risk_shortage=1.56; low_risk_shortage=-1.56
290,"Mixed procurement profile segment · mean PC=(-0.18,0.14,-0.44)",Strongest theme deviations vs cohort (z): high_risk_shortage=-0.83; low_risk_shortage=0.83; unequal_supply_regions=-0.26; equal_supply_regions=0.26; understocking=0.15
291,"Mixed procurement profile segment · mean PC=(-0.40,-0.13,-0.51)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.76; high_risk_shortage=-0.76; unequal_supply_regions=-0.42; equal_supply_regions=0.42; normal_inventory=0.23
292,"Moderate understocking segment · mean PC=(-0.72,-0.53,-0.65)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.98; high_risk_shortage=-0.98; normal_inventory=0.51; overstocking=-0.36; understocking=0.36
293,"Mixed procurement profile segment · mean PC=(-0.60,-0.53,-0.61)",Strongest theme deviations vs cohort (z): low_risk_shortage=1.07; high_risk_shortage=-1.07; normal_inventory=0.55; understocking=0.28; overstocking=-0.28
294,"Moderate understocking segment · mean PC=(0.03,-0.60,-0.49)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.74; high_risk_shortage=-0.74; understocking=0.48; overstocking=-0.48; normal_inventory=0.10
295,"Strong understocking / lean-stock segment · mean PC=(-1.68,0.33,-0.00)",Strongest theme deviations vs cohort (z): overstocking=-0.80; understocking=0.80; unequal_supply_regions=0.68; equal_supply_regions=-0.68; high_risk_shortage=-0.42
296,"High shortage-risk segment · mean PC=(-1.45,-1.10,2.00)",Strongest theme deviations vs cohort (z): normal_inventory=-2.04; understocking=2.04; overstocking=-2.04; unequal_supply_regions=1.13; equal_supply_regions=-1.13
297,"Strong understocking / lean-stock segment · mean PC=(-2.28,-0.48,-0.30)",Strongest theme deviations vs cohort (z): overstocking=-1.29; understocking=1.29; unequal_supply_regions=0.85; equal_supply_regions=-0.85; normal_inventory=-0.82
298,"Strong understocking / lean-stock segment · mean PC=(-1.26,0.04,0.04)",Strongest theme deviations vs cohort (z): unequal_supply_regions=1.13; equal_supply_regions=-1.13; overstocking=-1.13; understocking=1.13; high_risk_shortage=-0.87
299,"Strong understocking / lean-stock segment · mean PC=(-0.71,-1.18,-0.68)",Strongest theme deviations vs cohort (z): understocking=0.79; overstocking=-0.79; low_risk_shortage=0.62; high_risk_shortage=-0.62; unequal_supply_regions=0.12
300,"Moderate understocking segment · mean PC=(-0.39,0.00,-0.42)",Strongest theme deviations vs cohort (z): overstocking=-0.59; understocking=0.59; normal_inventory=0.21; unequal_supply_regions=-0.19; equal_supply_regions=0.19
301,"Strong understocking / lean-stock segment · mean PC=(0.03,0.06,-0.36)",Strongest theme deviations vs cohort (z): overstocking=-0.92; understocking=0.92; normal_inventory=-0.60; unequal_supply_regions=-0.54; equal_supply_regions=0.54
302,"Strong understocking / lean-stock segment · mean PC=(-2.65,-0.07,-1.00)",Strongest theme deviations vs cohort (z): understocking=1.91; overstocking=-1.91; normal_inventory=-1.83; unequal_supply_regions=0.99; equal_supply_regions=-0.99
303,"Moderate understocking segment · mean PC=(-0.41,-0.35,-0.55)",Strongest theme deviations vs cohort (z): high_risk_shortage=-0.90; low_risk_shortage=0.90; understocking=0.51; overstocking=-0.51; normal_inventory=0.26
304,"Severe surplus / extreme overstocking segment · mean PC=(1.25,0.11,-0.15)",Strongest theme deviations vs cohort (z): overstocking=1.68; understocking=-1.68; normal_inventory=-1.45; high_risk_shortage=-0.95; low_risk_shortage=0.95
305,"High shortage-risk segment · mean PC=(-0.28,-1.29,1.69)",Strongest theme deviations vs cohort (z): unequal_supply_regions=1.13; equal_supply_regions=-1.13; low_risk_shortage=-0.89; high_risk_shortage=0.89; normal_inventory=0.53
306,"High shortage-risk segment · mean PC=(-0.13,-1.20,0.83)",Strongest theme deviations vs cohort (z): low_risk_shortage=-1.15; high_risk_shortage=1.15; unequal_supply_regions=1.13; equal_supply_regions=-1.13; normal_inventory=0.53
307,"Strong understocking / lean-stock segment · mean PC=(-0.47,0.11,-0.45)",Strongest theme deviations vs cohort (z): high_risk_shortage=-0.70; low_risk_shortage=0.70; understocking=0.67; overstocking=-0.67; unequal_supply_regions=-0.10
308,"Strong understocking / lean-stock segment · mean PC=(-0.58,-0.06,-0.47)",Strongest theme deviations vs cohort (z): overstocking=-1.07; understocking=1.07; high_risk_shortage=-1.07; low_risk_shortage=1.07; normal_inventory=-0.67
309,"High shortage-risk segment · mean PC=(0.42,0.02,-0.22)",Strongest theme deviations vs cohort (z): low_risk_shortage=-2.45; high_risk_shortage=2.45; normal_inventory=1.08; unequal_supply_regions=1.04; equal_supply_regions=-1.04
310,"Moderate understocking segment · mean PC=(-0.42,-0.49,-0.58)",Strongest theme deviations vs cohort (z): high_risk_shortage=-0.95; low_risk_shortage=0.95; understocking=0.57; overstocking=-0.57; normal_inventory=0.20
311,"Mixed procurement profile segment · mean PC=(-0.37,-0.12,-0.47)",Strongest theme deviations vs cohort (z): high_risk_shortage=-0.72; low_risk_shortage=0.72; overstocking=-0.27; understocking=0.27; normal_inventory=-0.20
312,"Overstocking-heavy procurement segment · mean PC=(-0.39,0.35,-0.45)",Strongest theme deviations vs cohort (z): high_risk_shortage=-0.88; low_risk_shortage=0.88; overstocking=0.44; understocking=-0.44; normal_inventory=0.25
313,"Mixed procurement profile segment · mean PC=(0.34,-0.98,-0.49)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.95; high_risk_shortage=-0.95; normal_inventory=0.79; unequal_supply_regions=-0.10; equal_supply_regions=0.10
314,"Strong understocking / lean-stock segment · mean PC=(-1.81,0.04,-0.09)",Strongest theme deviations vs cohort (z): unequal_supply_regions=1.13; equal_supply_regions=-1.13; overstocking=-0.98; understocking=0.98; low_risk_shortage=0.54
315,"Strong understocking / lean-stock segment · mean PC=(-1.84,0.47,-0.04)",Strongest theme deviations vs cohort (z): unequal_supply_regions=0.73; equal_supply_regions=-0.73; understocking=0.66; overstocking=-0.66; high_risk_shortage=-0.59
316,"Severe surplus / extreme overstocking segment · mean PC=(1.25,0.07,-0.09)",Strongest theme deviations vs cohort (z): understocking=-1.67; overstocking=1.67; normal_inventory=-1.44; unequal_supply_regions=0.73; equal_supply_regions=-0.73
317,"High shortage-risk segment · mean PC=(0.10,0.14,1.27)",Strongest theme deviations vs cohort (z): unequal_supply_regions=1.13; equal_supply_regions=-1.13; high_risk_shortage=0.83; low_risk_shortage=-0.83; overstocking=-0.73
318,"Overstocking-heavy procurement segment · mean PC=(2.29,-0.72,0.13)",Strongest theme deviations vs cohort (z): understocking=-0.50; overstocking=0.50; normal_inventory=0.48; equal_supply_regions=-0.36; unequal_supply_regions=0.36
319,"Strong understocking / lean-stock segment · mean PC=(-2.74,-0.02,-0.41)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.96; high_risk_shortage=-0.96; overstocking=-0.80; understocking=0.80; unequal_supply_regions=-0.29
320,"Strong understocking / lean-stock segment · mean PC=(-1.95,0.24,-0.11)",Strongest theme deviations vs cohort (z): overstocking=-0.80; understocking=0.80; high_risk_shortage=-0.59; low_risk_shortage=0.59; unequal_supply_regions=-0.09
321,"Strong understocking / lean-stock segment · mean PC=(-1.96,0.43,-0.08)",Strongest theme deviations vs cohort (z): understocking=0.66; overstocking=-0.66; high_risk_shortage=-0.59; low_risk_shortage=0.59; normal_inventory=0.22
322,"Moderate understocking segment · mean PC=(-0.57,-0.23,-0.54)",Strongest theme deviations vs cohort (z): high_risk_shortage=-1.06; low_risk_shortage=1.06; understocking=0.51; overstocking=-0.51; unequal_supply_regions=-0.42
323,"Mixed procurement profile segment · mean PC=(-0.45,-0.13,-0.53)",Strongest theme deviations vs cohort (z): low_risk_shortage=1.01; high_risk_shortage=-1.01; normal_inventory=0.43; unequal_supply_regions=-0.12; equal_supply_regions=0.12
324,"Severe surplus / extreme overstocking segment · mean PC=(1.25,0.19,-0.15)",Strongest theme deviations vs cohort (z): understocking=-1.32; overstocking=1.32; normal_inventory=-1.01; low_risk_shortage=0.92; high_risk_shortage=-0.92
325,"High shortage-risk segment · mean PC=(0.11,0.14,1.12)",Strongest theme deviations vs cohort (z): unequal_supply_regions=1.13; equal_supply_regions=-1.13; high_risk_shortage=0.81; low_risk_shortage=-0.81; overstocking=-0.73
326,"High shortage-risk segment · mean PC=(-0.24,-1.27,0.85)",Strongest theme deviations vs cohort (z): unequal_supply_regions=1.13; equal_supply_regions=-1.13; high_risk_shortage=1.11; low_risk_shortage=-1.11; understocking=0.61
327,"High shortage-risk segment · mean PC=(-0.40,-1.38,0.80)",Strongest theme deviations vs cohort (z): unequal_supply_regions=1.13; equal_supply_regions=-1.13; low_risk_shortage=-1.07; high_risk_shortage=1.07; understocking=0.85
328,"High shortage-risk segment · mean PC=(-0.31,-1.33,0.32)",Strongest theme deviations vs cohort (z): low_risk_shortage=-1.09; high_risk_shortage=1.09; understocking=0.85; overstocking=-0.85; unequal_supply_regions=-0.42
329,"Mixed procurement profile segment · mean PC=(0.39,-1.03,-0.39)",Strongest theme deviations vs cohort (z): normal_inventory=0.83; overstocking=-0.29; understocking=0.29; equal_supply_regions=-0.21; unequal_supply_regions=0.21
330,"Mixed procurement profile segment · mean PC=(-0.53,-0.12,-0.52)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.88; high_risk_shortage=-0.88; normal_inventory=0.42; unequal_supply_regions=-0.37; equal_supply_regions=0.37
331,"Severe surplus / extreme overstocking segment · mean PC=(0.80,-0.09,-0.26)",Strongest theme deviations vs cohort (z): overstocking=1.23; understocking=-1.23; high_risk_shortage=-0.82; low_risk_shortage=0.82; normal_inventory=-0.75
332,"High shortage-risk segment · mean PC=(-0.28,-1.31,0.17)",Strongest theme deviations vs cohort (z): high_risk_shortage=1.03; low_risk_shortage=-1.03; understocking=0.83; overstocking=-0.83; unequal_supply_regions=-0.42
333,"Overstocking-heavy procurement segment · mean PC=(1.13,-0.83,-0.24)",Strongest theme deviations vs cohort (z): normal_inventory=0.61; understocking=-0.42; overstocking=0.42; equal_supply_regions=-0.42; unequal_supply_regions=0.42
334,"Mixed procurement profile segment · mean PC=(-0.21,0.31,-0.44)",Strongest theme deviations vs cohort (z): low_risk_shortage=1.10; high_risk_shortage=-1.10; unequal_supply_regions=-0.30; equal_supply_regions=0.30; overstocking=0.19
335,"High shortage-risk segment · mean PC=(-0.26,-1.30,0.02)",Strongest theme deviations vs cohort (z): low_risk_shortage=-1.33; high_risk_shortage=1.33; understocking=0.83; overstocking=-0.83; unequal_supply_regions=-0.42
336,"Strong understocking / lean-stock segment · mean PC=(-1.32,-0.47,0.08)",Strongest theme deviations vs cohort (z): normal_inventory=-2.29; understocking=2.15; overstocking=-2.15; unequal_supply_regions=-0.13; equal_supply_regions=0.13
337,"Mixed procurement profile segment · mean PC=(-0.59,0.77,-0.48)",Strongest theme deviations vs cohort (z): normal_inventory=0.96; high_risk_shortage=-0.76; low_risk_shortage=0.76; equal_supply_regions=-0.08; unequal_supply_regions=0.08
338,"Severe surplus / extreme overstocking segment · mean PC=(1.23,0.63,-0.08)",Strongest theme deviations vs cohort (z): understocking=-2.02; overstocking=2.02; normal_inventory=-2.01; low_risk_shortage=0.97; high_risk_shortage=-0.97
339,"Strong understocking / lean-stock segment · mean PC=(-0.58,-1.52,-0.77)",Strongest theme deviations vs cohort (z): overstocking=-1.35; understocking=1.35; high_risk_shortage=-1.22; low_risk_shortage=1.22; normal_inventory=-0.91
340,"Mixed procurement profile segment · mean PC=(0.02,-1.04,-0.50)",Strongest theme deviations vs cohort (z): normal_inventory=0.81; low_risk_shortage=0.36; high_risk_shortage=-0.36; overstocking=-0.23; understocking=0.23
341,"Strong understocking / lean-stock segment · mean PC=(-2.19,-0.76,-0.28)",Strongest theme deviations vs cohort (z): normal_inventory=-2.29; understocking=2.15; overstocking=-2.15; unequal_supply_regions=0.37; equal_supply_regions=-0.37
342,"High shortage-risk segment · mean PC=(-1.87,0.46,-0.07)",Strongest theme deviations vs cohort (z): understocking=0.66; overstocking=-0.66; low_risk_shortage=-0.52; high_risk_shortage=0.52; normal_inventory=0.22
343,"High shortage-risk segment · mean PC=(-1.86,0.28,-0.09)",Strongest theme deviations vs cohort (z): overstocking=-0.79; understocking=0.79; low_risk_shortage=-0.78; high_risk_shortage=0.78; unequal_supply_regions=0.21
344,"Overstocking-heavy procurement segment · mean PC=(0.16,0.23,-0.36)",Strongest theme deviations vs cohort (z): understocking=-0.97; overstocking=0.97; low_risk_shortage=0.94; high_risk_shortage=-0.94; normal_inventory=-0.40
345,"High shortage-risk segment · mean PC=(-0.77,-0.50,0.60)",Strongest theme deviations vs cohort (z): low_risk_shortage=-1.99; high_risk_shortage=1.99; understocking=1.69; overstocking=-1.69; normal_inventory=-1.49
346,"High shortage-risk segment · mean PC=(-0.07,-1.17,0.48)",Strongest theme deviations vs cohort (z): low_risk_shortage=-0.97; high_risk_shortage=0.97; normal_inventory=0.53; understocking=0.47; overstocking=-0.47
347,"Mixed procurement profile segment · mean PC=(0.62,-0.87,-0.41)",Strongest theme deviations vs cohort (z): normal_inventory=0.92; high_risk_shortage=-0.77; low_risk_shortage=0.77; unequal_supply_regions=0.18; equal_supply_regions=-0.18
348,"Strong understocking / lean-stock segment · mean PC=(-2.25,0.79,-0.82)",Strongest theme deviations vs cohort (z): understocking=1.32; overstocking=-1.32; normal_inventory=-0.87; unequal_supply_regions=-0.42; equal_supply_regions=0.42
349,"High shortage-risk segment · mean PC=(0.02,-1.11,-0.06)",Strongest theme deviations vs cohort (z): high_risk_shortage=1.14; low_risk_shortage=-1.14; normal_inventory=0.52; understocking=0.47; overstocking=-0.47
350,"Overstocking-heavy procurement segment · mean PC=(-0.04,0.27,-0.39)",Strongest theme deviations vs cohort (z): understocking=-0.96; overstocking=0.96; high_risk_shortage=-0.89; low_risk_shortage=0.89; normal_inventory=-0.49
351,"Mixed procurement profile segment · mean PC=(-0.05,-0.68,-0.52)",Strongest theme deviations vs cohort (z): low_risk_shortage=1.01; high_risk_shortage=-1.01; normal_inventory=0.69; equal_supply_regions=-0.47; unequal_supply_regions=0.47
352,"Strong understocking / lean-stock segment · mean PC=(-2.41,-0.84,-0.42)",Strongest theme deviations vs cohort (z): normal_inventory=-2.29; understocking=2.15; overstocking=-2.15; low_risk_shortage=0.35; high_risk_shortage=-0.35
353,"High shortage-risk segment · mean PC=(-0.24,-1.28,-0.12)",Strongest theme deviations vs cohort (z): high_risk_shortage=1.20; low_risk_shortage=-1.20; understocking=0.85; overstocking=-0.85; unequal_supply_regions=-0.42
354,"High shortage-risk segment · mean PC=(0.03,-1.10,-0.13)",Strongest theme deviations vs cohort (z): low_risk_shortage=-0.89; high_risk_shortage=0.89; normal_inventory=0.54; understocking=0.46; overstocking=-0.46
355,"High shortage-risk segment · mean PC=(-2.95,-1.47,-0.17)",Strongest theme deviations vs cohort (z): normal_inventory=-2.29; understocking=2.15; overstocking=-2.15; high_risk_shortage=0.65; low_risk_shortage=-0.65
356,"High shortage-risk segment · mean PC=(-0.22,-1.27,-0.23)",Strongest theme deviations vs cohort (z): high_risk_shortage=1.04; low_risk_shortage=-1.04; understocking=0.85; overstocking=-0.85; unequal_supply_regions=-0.42
357,"Mixed procurement profile segment · mean PC=(0.68,-0.91,-0.40)",Strongest theme deviations vs cohort (z): normal_inventory=0.64; high_risk_shortage=-0.61; low_risk_shortage=0.61; understocking=-0.29; overstocking=0.29
358,"High shortage-risk segment · mean PC=(-0.22,-1.28,-0.18)",Strongest theme deviations vs cohort (z): understocking=0.83; overstocking=-0.83; low_risk_shortage=-0.64; high_risk_shortage=0.64; unequal_supply_regions=-0.42
359,"Strong understocking / lean-stock segment · mean PC=(-0.42,-0.89,-0.63)",Strongest theme deviations vs cohort (z): high_risk_shortage=-1.08; low_risk_shortage=1.08; understocking=0.92; overstocking=-0.92; unequal_supply_regions=-0.23
360,"High shortage-risk segment · mean PC=(0.20,0.04,0.01)",Strongest theme deviations vs cohort (z): normal_inventory=0.82; high_risk_shortage=0.65; low_risk_shortage=-0.65; unequal_supply_regions=-0.42; equal_supply_regions=0.42
361,"High shortage-risk segment · mean PC=(-2.65,-0.98,-0.15)",Strongest theme deviations vs cohort (z): normal_inventory=-2.29; understocking=2.15; overstocking=-2.15; high_risk_shortage=0.60; low_risk_shortage=-0.60
362,"Severe surplus / extreme overstocking segment · mean PC=(0.54,0.25,-0.28)",Strongest theme deviations vs cohort (z): understocking=-1.46; overstocking=1.46; normal_inventory=-1.09; high_risk_shortage=-1.06; low_risk_shortage=1.06
