PhilGEPS DBSCAN — semantic legend reference (full labels vs grouped plot legend)
Encoding: UTF-8. Delimiter: TAB. cluster_id = actual DBSCAN assignment; Display group = plot bucket.

Display group	Actual cluster_id	Semantic label	Short rationale	Count	Share
Other DBSCAN clusters	38	Overstocking-heavy procurement segment · mean PC=(0.16,-0.00,-0.39)	Strongest theme deviations vs cohort (z): understocking=-0.88; overstocking=0.88; low_risk_shortage=0.74; high_risk_shortage=-0.74; normal_inventory=-0.24	155	0.032%
Other DBSCAN clusters	39	Strong understocking / lean-stock segment · mean PC=(-2.67,-0.92,-0.52)	Strongest theme deviations vs cohort (z): normal_inventory=-2.30; understocking=2.15; overstocking=-2.15; high_risk_shortage=-0.90; low_risk_shortage=0.90	242	0.050%
Other DBSCAN clusters	40	Mixed procurement profile segment · mean PC=(-0.32,0.15,-0.46)	Strongest theme deviations vs cohort (z): low_risk_shortage=0.99; high_risk_shortage=-0.99; unequal_supply_regions=-0.18; equal_supply_regions=0.18; normal_inventory=0.16	40	0.008%
Other DBSCAN clusters	41	Strong understocking / lean-stock segment · mean PC=(-1.70,-1.35,-0.93)	Strongest theme deviations vs cohort (z): overstocking=-1.64; understocking=1.64; normal_inventory=-1.38; high_risk_shortage=-0.92; low_risk_shortage=0.92	57	0.012%
Other DBSCAN clusters	42	High shortage-risk segment · mean PC=(-0.35,-1.28,5.10)	Strongest theme deviations vs cohort (z): equal_supply_regions=2.71; unequal_supply_regions=-2.71; normal_inventory=1.12; high_risk_shortage=1.04; low_risk_shortage=-1.04	32	0.007%
Other DBSCAN clusters	43	Overstocking-heavy procurement segment · mean PC=(0.15,0.14,-0.36)	Strongest theme deviations vs cohort (z): overstocking=0.86; understocking=-0.86; low_risk_shortage=0.80; high_risk_shortage=-0.80; normal_inventory=-0.41	142	0.029%
Other DBSCAN clusters	44	Overstocking-heavy procurement segment · mean PC=(3.65,0.18,0.40)	Strongest theme deviations vs cohort (z): understocking=-0.63; overstocking=0.63; normal_inventory=0.28; equal_supply_regions=-0.19; unequal_supply_regions=0.19	328	0.067%
Other DBSCAN clusters	45	Strong understocking / lean-stock segment · mean PC=(-1.98,-0.69,-0.25)	Strongest theme deviations vs cohort (z): normal_inventory=-2.29; understocking=2.15; overstocking=-2.15; high_risk_shortage=-0.64; low_risk_shortage=0.64	234	0.048%
Other DBSCAN clusters	46	Mixed procurement profile segment · mean PC=(0.10,-0.65,-0.48)	Strongest theme deviations vs cohort (z): high_risk_shortage=-0.82; low_risk_shortage=0.82; overstocking=-0.23; understocking=0.23; normal_inventory=0.20	20	0.004%
Other DBSCAN clusters	47	High shortage-risk segment · mean PC=(-1.37,-1.96,4.97)	Strongest theme deviations vs cohort (z): equal_supply_regions=2.71; unequal_supply_regions=-2.71; understocking=1.20; overstocking=-1.20; low_risk_shortage=-1.04	22	0.005%
Other DBSCAN clusters	48	Strong understocking / lean-stock segment · mean PC=(-2.20,-0.28,-0.28)	Strongest theme deviations vs cohort (z): overstocking=-1.13; understocking=1.13; equal_supply_regions=0.89; unequal_supply_regions=-0.89; low_risk_shortage=0.79	28	0.006%
Other DBSCAN clusters	49	Strong understocking / lean-stock segment · mean PC=(-0.39,-0.44,-0.56)	Strongest theme deviations vs cohort (z): understocking=0.70; overstocking=-0.70; unequal_supply_regions=-0.51; equal_supply_regions=0.51; high_risk_shortage=-0.34	88	0.018%
Other DBSCAN clusters	50	Strong understocking / lean-stock segment · mean PC=(-2.49,-0.86,-0.43)	Strongest theme deviations vs cohort (z): normal_inventory=-2.29; understocking=2.15; overstocking=-2.15; low_risk_shortage=0.68; high_risk_shortage=-0.68	113	0.023%
Other DBSCAN clusters	51	Mixed procurement profile segment · mean PC=(-0.33,0.32,-0.45)	Strongest theme deviations vs cohort (z): low_risk_shortage=1.03; high_risk_shortage=-1.03; normal_inventory=0.30; unequal_supply_regions=-0.23; equal_supply_regions=0.23	119	0.024%
Other DBSCAN clusters	52	Mixed procurement profile segment · mean PC=(-0.30,-0.13,-0.49)	Strongest theme deviations vs cohort (z): low_risk_shortage=0.99; high_risk_shortage=-0.99; normal_inventory=0.16; unequal_supply_regions=-0.14; equal_supply_regions=0.14	237	0.049%
Other DBSCAN clusters	53	Strong understocking / lean-stock segment · mean PC=(-1.74,0.68,-0.66)	Strongest theme deviations vs cohort (z): understocking=1.73; overstocking=-1.73; normal_inventory=-1.53; unequal_supply_regions=0.84; equal_supply_regions=-0.84	38	0.008%
Other DBSCAN clusters	54	Moderate understocking segment · mean PC=(-1.16,1.36,-0.53)	Strongest theme deviations vs cohort (z): equal_supply_regions=2.25; unequal_supply_regions=-2.25; understocking=0.62; overstocking=-0.62; low_risk_shortage=0.48	29	0.006%
Other DBSCAN clusters	55	Strong understocking / lean-stock segment · mean PC=(-2.19,-0.76,-0.34)	Strongest theme deviations vs cohort (z): normal_inventory=-2.29; understocking=2.15; overstocking=-2.15; high_risk_shortage=-0.85; low_risk_shortage=0.85	118	0.024%
Other DBSCAN clusters	56	Mixed procurement profile segment · mean PC=(0.43,-0.66,-0.42)	Strongest theme deviations vs cohort (z): high_risk_shortage=-0.75; low_risk_shortage=0.75; normal_inventory=0.41; equal_supply_regions=0.22; unequal_supply_regions=-0.22	45	0.009%
Other DBSCAN clusters	57	Mixed procurement profile segment · mean PC=(0.65,-0.70,-0.39)	Strongest theme deviations vs cohort (z): normal_inventory=0.82; low_risk_shortage=0.39; high_risk_shortage=-0.39; overstocking=0.13; understocking=-0.13	275	0.056%
Other DBSCAN clusters	58	Strong understocking / lean-stock segment · mean PC=(-0.38,-0.81,-0.61)	Strongest theme deviations vs cohort (z): high_risk_shortage=-1.01; low_risk_shortage=1.01; overstocking=-0.68; understocking=0.68; normal_inventory=0.11	58	0.012%
Other DBSCAN clusters	59	Strong understocking / lean-stock segment · mean PC=(-1.32,-1.41,-0.86)	Strongest theme deviations vs cohort (z): overstocking=-1.46; understocking=1.46; normal_inventory=-1.10; low_risk_shortage=0.93; high_risk_shortage=-0.93	70	0.014%
Other DBSCAN clusters	60	Mixed procurement profile segment · mean PC=(0.67,-0.76,-0.39)	Strongest theme deviations vs cohort (z): normal_inventory=0.89; high_risk_shortage=-0.84; low_risk_shortage=0.84; overstocking=-0.18; understocking=0.18	20	0.004%
Other DBSCAN clusters	61	Mixed procurement profile segment · mean PC=(0.80,-0.76,-0.37)	Strongest theme deviations vs cohort (z): low_risk_shortage=0.95; high_risk_shortage=-0.95; normal_inventory=0.86; understocking=-0.03; overstocking=0.03	29	0.006%
Other DBSCAN clusters	62	Strong understocking / lean-stock segment · mean PC=(-2.71,-0.62,-0.49)	Strongest theme deviations vs cohort (z): overstocking=-1.34; understocking=1.34; normal_inventory=-0.89; low_risk_shortage=0.71; high_risk_shortage=-0.71	34	0.007%
Other DBSCAN clusters	63	Strong understocking / lean-stock segment · mean PC=(-0.51,-0.78,-0.62)	Strongest theme deviations vs cohort (z): high_risk_shortage=-0.86; low_risk_shortage=0.86; understocking=0.75; overstocking=-0.75; equal_supply_regions=-0.05	150	0.031%
Other DBSCAN clusters	64	Mixed procurement profile segment · mean PC=(-0.23,0.01,-0.47)	Strongest theme deviations vs cohort (z): low_risk_shortage=0.81; high_risk_shortage=-0.81; unequal_supply_regions=-0.34; equal_supply_regions=0.34; understocking=0.17	41	0.008%
Other DBSCAN clusters	65	Overstocking-heavy procurement segment · mean PC=(-0.03,-0.05,-0.44)	Strongest theme deviations vs cohort (z): low_risk_shortage=0.91; high_risk_shortage=-0.91; understocking=-0.56; overstocking=0.56; equal_supply_regions=0.21	28	0.006%
Other DBSCAN clusters	66	Overstocking-heavy procurement segment · mean PC=(0.19,-0.39,-0.44)	Strongest theme deviations vs cohort (z): high_risk_shortage=-0.96; low_risk_shortage=0.96; overstocking=0.63; understocking=-0.63; normal_inventory=0.08	30	0.006%
Other DBSCAN clusters	67	Overstocking-heavy procurement segment · mean PC=(1.29,-0.79,-0.25)	Strongest theme deviations vs cohort (z): overstocking=0.73; understocking=-0.73; low_risk_shortage=0.67; high_risk_shortage=-0.67; equal_supply_regions=-0.18	54	0.011%
Other DBSCAN clusters	68	Mixed procurement profile segment · mean PC=(0.10,-0.94,-0.53)	Strongest theme deviations vs cohort (z): low_risk_shortage=0.81; high_risk_shortage=-0.81; normal_inventory=0.60; unequal_supply_regions=0.28; equal_supply_regions=-0.28	36	0.007%
Other DBSCAN clusters	69	Strong understocking / lean-stock segment · mean PC=(-0.65,-0.64,-0.59)	Strongest theme deviations vs cohort (z): overstocking=-1.04; understocking=1.04; low_risk_shortage=0.61; high_risk_shortage=-0.61; normal_inventory=-0.44	161	0.033%
Other DBSCAN clusters	70	Strong understocking / lean-stock segment · mean PC=(-0.63,-1.16,-0.70)	Strongest theme deviations vs cohort (z): high_risk_shortage=-0.88; low_risk_shortage=0.88; overstocking=-0.82; understocking=0.82; normal_inventory=-0.04	151	0.031%
Other DBSCAN clusters	71	Moderate understocking segment · mean PC=(-0.31,-0.54,-0.56)	Strongest theme deviations vs cohort (z): high_risk_shortage=-0.75; low_risk_shortage=0.75; understocking=0.43; overstocking=-0.43; unequal_supply_regions=-0.17	132	0.027%
Other DBSCAN clusters	72	Mixed procurement profile segment · mean PC=(-0.30,0.05,-0.47)	Strongest theme deviations vs cohort (z): low_risk_shortage=0.97; high_risk_shortage=-0.97; unequal_supply_regions=-0.15; equal_supply_regions=0.15; overstocking=0.05	215	0.044%
